index,alcohol,phenols
0,14.23,2.8
1,13.2,2.65
2,13.16,2.8
3,14.37,3.85
4,13.24,2.8
5,14.2,3.27
6,14.39,2.5
7,14.06,2.6
8,14.83,2.8
9,13.86,2.98
10,14.1,2.95
11,14.12,2.2
12,13.75,2.6
13,14.75,3.1
14,14.38,3.3
15,13.63,2.85
16,14.3,2.8
17,13.83,2.95
18,14.19,3.3
19,13.64,2.7
20,14.06,3
21,12.93,2.41
22,13.71,2.61
23,12.85,2.48
24,13.5,2.53
25,13.05,2.63
26,13.39,2.85
27,13.3,2.4
28,13.87,2.95
29,14.02,2.65
30,13.73,3
31,13.58,2.86
32,13.68,2.42
33,13.76,2.95
34,13.51,2.35
35,13.48,2.7
36,13.28,2.6
37,13.05,2.45
38,13.07,2.4
39,14.22,3
40,13.56,3.15
41,13.41,2.45
42,13.88,3.25
43,13.24,2.64
44,13.05,3
45,14.21,2.85
46,14.38,3.25
47,13.9,3.1
48,14.1,2.75
49,13.94,2.88
50,13.05,2.72
51,13.83,2.45
52,13.82,3.88
53,13.77,3
54,13.74,2.6
55,13.56,2.96
56,14.22,3.2
57,13.29,3
58,13.72,3.4
59,12.37,1.98
60,12.33,2.05
61,12.64,2.02
62,13.67,2.1
63,12.37,3.5
64,12.17,1.89
65,12.37,2.42
66,13.11,2.98
67,12.37,2.11
68,13.34,2.53
69,12.21,1.85
70,12.29,1.1
71,13.86,2.95
72,13.49,1.88
73,12.99,3.3
74,11.96,3.38
75,11.66,1.61
76,13.03,1.95
77,11.84,1.72
78,12.33,1.9
79,12.7,2.83
80,12,2.42
81,12.72,2.2
82,12.08,2
83,13.05,1.65
84,11.84,2.2
85,12.67,2.2
86,12.16,1.78
87,11.65,1.92
88,11.64,1.95
89,12.08,2.2
90,12.08,1.6
91,12,1.45
92,12.69,1.38
93,12.29,2.45
94,11.62,3.02
95,12.47,2.5
96,11.81,1.6
97,12.29,2.55
98,12.37,3.52
99,12.29,2.85
100,12.08,2.23
101,12.6,1.45
102,12.34,2.56
103,11.82,2.5
104,12.51,2.2
105,12.42,1.68
106,12.25,1.65
107,12.72,1.38
108,12.22,2.36
109,11.61,2.74
110,11.46,3.18
111,12.52,2.55
112,11.76,1.75
113,11.41,2.48
114,12.08,2.56
115,11.03,2.46
116,11.82,1.98
117,12.42,2
118,12.77,1.63
119,12,2
120,11.45,2.9
121,11.56,3.18
122,12.42,2.2
123,13.05,2.62
124,11.87,2.86
125,12.07,2.6
126,12.43,2.74
127,11.79,2.13
128,12.37,2.22
129,12.04,2.1
130,12.86,1.51
131,12.88,1.3
132,12.81,1.15
133,12.7,1.7
134,12.51,2
135,12.6,1.62
136,12.25,1.38
137,12.53,1.79
138,13.49,1.62
139,12.84,2.32
140,12.93,1.54
141,13.36,1.4
142,13.52,1.55
143,13.62,2
144,12.25,1.38
145,13.16,1.5
146,13.88,0.98
147,12.87,1.7
148,13.32,1.93
149,13.08,1.41
150,13.5,1.4
151,12.79,1.48
152,13.11,2.2
153,13.23,1.8
154,12.58,1.48
155,13.17,1.74
156,13.84,1.8
157,12.45,1.9
158,14.34,2.8
159,13.48,2.6
160,12.36,2.3
161,13.69,1.83
162,12.85,1.65
163,12.96,1.39
164,13.78,1.35
165,13.73,1.28
166,13.45,1.7
167,12.82,1.48
168,13.58,1.55
169,13.4,1.98
170,12.2,1.25
171,12.77,1.39
172,14.16,1.68
173,13.71,1.68
174,13.4,1.8
175,13.27,1.59
176,13.17,1.65
177,14.13,2.05
